GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TP3 Performance CRUD Web,com.tp2.engsoftware.handler,ProdutoCommandHandler,0,141,1,7,0,30,1,11,0,8
TP3 Performance CRUD Web,com.tp2.engsoftware.handler,ProdutoQueryHandler,0,32,0,0,0,7,0,5,0,5
TP3 Performance CRUD Web,com.tp2.engsoftware,CrudApplication,0,3,0,0,0,1,0,1,0,1
TP3 Performance CRUD Web,br.com.faculdade.tp3.exception,RecursoNaoEncontradoException,0,4,0,0,0,2,0,1,0,1
TP3 Performance CRUD Web,br.com.faculdade.tp3.exception,RecursoDuplicadoException,0,4,0,0,0,2,0,1,0,1
TP3 Performance CRUD Web,br.com.faculdade.tp3.exception,TimeoutServicoException,0,4,0,0,0,2,0,1,0,1
TP3 Performance CRUD Web,br.com.faculdade.tp3.exception,SobrecargaSistemaException,0,4,0,0,0,2,0,1,0,1
TP3 Performance CRUD Web,br.com.faculdade.tp3.exception,EntradaInvalidaException,0,4,0,0,0,2,0,1,0,1
TP3 Performance CRUD Web,com.tp2.engsoftware.query,ListAllProdutosQuery,0,3,0,0,0,2,0,1,0,1
TP3 Performance CRUD Web,com.tp2.engsoftware.query,GetProdutoByIdQuery,7,9,0,0,4,4,2,2,2,2
TP3 Performance CRUD Web,com.tp2.engsoftware.query,SearchProdutosByNomeQuery,7,9,0,0,4,4,2,2,2,2
TP3 Performance CRUD Web,com.tp2.engsoftware.model,Produto,2,113,2,4,0,37,2,20,0,19
TP3 Performance CRUD Web,com.tp2.engsoftware.controller,ProdutoRestController,0,107,0,0,0,25,0,11,0,11
TP3 Performance CRUD Web,com.tp2.engsoftware.controller,ProdutoWebController,9,106,0,4,2,30,1,8,1,6
TP3 Performance CRUD Web,br.com.faculdade.tp3.controller,HomeController,0,5,0,0,0,2,0,2,0,2
TP3 Performance CRUD Web,br.com.faculdade.tp3.controller,WebExceptionHandler,0,10,0,0,0,3,0,2,0,2
TP3 Performance CRUD Web,br.com.faculdade.tp3.controller,ApiExceptionHandler,23,105,0,0,4,22,3,7,3,7
TP3 Performance CRUD Web,br.com.faculdade.tp3.service,FaultSimulationService,22,97,2,8,8,27,2,10,0,7
TP3 Performance CRUD Web,br.com.faculdade.tp3.service,RhService,122,534,21,31,24,129,23,28,4,21
TP3 Performance CRUD Web,br.com.faculdade.tp3.service,RhService.EntradaFuncionario,0,21,0,0,0,1,0,1,0,1
TP3 Performance CRUD Web,com.tp2.engsoftware.command,CreateProdutoCommand,19,27,0,0,10,10,5,5,5,5
TP3 Performance CRUD Web,com.tp2.engsoftware.command,UpdateProdutoCommand,23,33,0,0,12,12,6,6,6,6
TP3 Performance CRUD Web,com.tp2.engsoftware.command,DeleteProdutoCommand,7,9,0,0,4,4,2,2,2,2
TP3 Performance CRUD Web,br.com.faculdade.tp3,Tp3PerformanceCrudWebApplication,5,3,0,0,2,1,1,1,1,1
TP3 Performance CRUD Web,br.com.faculdade.tp3.util,RhValidator,32,124,13,17,7,23,12,8,0,5
TP3 Performance CRUD Web,br.com.faculdade.tp3.model,Salario,5,94,2,8,2,26,3,14,1,11
TP3 Performance CRUD Web,br.com.faculdade.tp3.model,Departamento,10,52,1,3,5,16,3,9,2,8
TP3 Performance CRUD Web,br.com.faculdade.tp3.model,MovimentacaoRh,3,45,0,0,1,19,1,13,1,13
TP3 Performance CRUD Web,br.com.faculdade.tp3.model,Funcionario,2,122,1,3,1,45,1,28,0,27
TP3 Performance CRUD Web,br.com.faculdade.tp3.model,Cpf,32,25,5,3,7,7,6,4,3,3
TP3 Performance CRUD Web,br.com.faculdade.tp3.config,BootstrapDataConfig,19,269,12,12,3,96,13,8,1,8
TP3 Performance CRUD Web,br.com.faculdade.tp3.controller.rh,FuncionarioWebController,0,295,0,12,0,68,0,19,0,13
TP3 Performance CRUD Web,br.com.faculdade.tp3.controller.rh,RhApiController,18,57,0,0,4,11,3,8,3,8
TP3 Performance CRUD Web,br.com.faculdade.tp3.controller.rh,DiagnosticoApiController,11,16,0,0,2,5,1,2,1,2
TP3 Performance CRUD Web,com.tp2.engsoftware.exception,ProdutoNotFoundException,0,5,0,0,0,2,0,1,0,1
TP3 Performance CRUD Web,com.tp2.engsoftware.exception,ProdutoDuplicadoException,0,5,0,0,0,2,0,1,0,1
TP3 Performance CRUD Web,com.tp2.engsoftware.service,ProdutoService,0,77,0,0,0,22,0,7,0,7
TP3 Performance CRUD Web,br.com.faculdade.tp3.dto,ApiErrorResponse,0,18,0,0,0,1,0,1,0,1
TP3 Performance CRUD Web,br.com.faculdade.tp3.model.enums,TipoMovimentacaoRh,0,33,0,0,0,6,0,1,0,1
TP3 Performance CRUD Web,br.com.faculdade.tp3.model.enums,FuncionarioStatus,0,15,0,0,0,3,0,1,0,1
TP3 Performance CRUD Web,br.com.faculdade.tp3.dto.rh,PromocaoPayload,0,24,0,0,0,10,0,7,0,7
TP3 Performance CRUD Web,br.com.faculdade.tp3.dto.rh,DemissaoPayload,0,10,0,0,0,4,0,3,0,3
TP3 Performance CRUD Web,br.com.faculdade.tp3.dto.rh,AjusteSalarialPayload,0,17,0,0,0,7,0,5,0,5
TP3 Performance CRUD Web,br.com.faculdade.tp3.dto.rh,FuncionarioPayload,0,52,0,0,0,22,0,15,0,15
